time,size,volume,Candle1Size,Candle2Size,Candle3Size,Candle4Size,breakout_type,support_level,resistance_level
2023-01-05 15:30:00+00:00,2.2450000000001182,2441,5.4849999999999,1.900000000000091,1.5199999999999818,9.710000000000036,support,1830.02,1863.9
2023-01-06 16:00:00+00:00,1.9649999999999181,2401,4.740000000000009,13.779999999999973,2.1799999999998363,5.985000000000127,resistance,1826.915,1860.335
2023-01-06 17:00:00+00:00,1.775000000000091,1370,2.8899999999998727,1.9649999999999181,4.740000000000009,13.779999999999973,resistance,1826.915,1862.345
2023-01-06 18:30:00+00:00,4.414999999999964,2091,2.035000000000082,0.5900000000001455,1.775000000000091,2.8899999999998727,resistance,1826.915,1863.455
2023-01-06 20:00:00+00:00,0.29500000000007276,893,0.5950000000000273,0.4650000000001455,4.414999999999964,2.035000000000082,resistance,1826.915,1868.76
2023-01-09 00:00:00+00:00,1.1600000000000819,1351,1.3600000000001273,0.6299999999998818,0.005000000000109139,0.8949999999999818,resistance,1826.915,1868.93
2023-01-09 01:30:00+00:00,3.589999999999918,2476,2.2799999999999727,0.10999999999989996,1.1600000000000819,1.3600000000001273,resistance,1826.915,1869.67
2023-01-11 05:30:00+00:00,2.3450000000000273,1801,2.1099999999999,0.6699999999998454,0.5900000000001455,1.2150000000001455,resistance,1868.38,1879.225
2023-01-11 07:30:00+00:00,1.9099999999998545,1742,2.8500000000001364,2.5299999999999727,1.0650000000000546,2.3450000000000273,resistance,1868.38,1883.38
2023-01-11 09:00:00+00:00,1.7449999999998909,3024,1.7200000000000273,0.7400000000000091,1.9099999999998545,2.8500000000001364,resistance,1868.38,1883.65
2023-01-12 12:30:00+00:00,0.9900000000000091,935,3.349999999999909,0.16999999999984539,0.8849999999999909,1.0600000000001728,resistance,1869.89,1885.715
2023-01-12 14:00:00+00:00,7.579999999999927,5842,12.519999999999982,0.26499999999987267,0.9900000000000091,3.349999999999909,resistance,1869.89,1888.49
2023-01-13 00:30:00+00:00,1.5950000000000273,1718,1.6100000000001273,1.415000000000191,0.724999999999909,1.1099999999999,resistance,1869.89,1899.685
2023-01-13 08:30:00+00:00,2.1549999999999727,2056,4.740000000000009,4.535000000000082,1.1749999999999545,0.8399999999999181,resistance,1869.89,1899.775
2023-01-13 15:00:00+00:00,1.5600000000001728,4449,9.6099999999999,1.9449999999999363,1.9449999999999363,1.4399999999998272,resistance,1869.89,1906.535
2023-01-13 17:30:00+00:00,0.8849999999999909,1005,3.6200000000001182,0.3949999999999818,1.0449999999998454,1.5150000000001,resistance,1869.89,1913.73
2023-01-16 01:30:00+00:00,3.105000000000018,2280,2.2450000000001182,1.1700000000000728,0.8500000000001364,2.339999999999918,resistance,1875.965,1920.7
2023-01-18 03:00:00+00:00,1.959999999999809,2720,4.119999999999891,0.5199999999999818,1.259999999999991,0.2699999999999818,support,1904.855,1928.46
2023-01-18 05:30:00+00:00,0.2400000000000091,2140,1.8599999999999,1.1700000000000728,1.6099999999999,2.0699999999999363,support,1898.5,1928.46
2023-01-18 14:00:00+00:00,1.2550000000001091,3362,3.0699999999999363,1.025000000000091,1.2849999999998545,0.4249999999999545,resistance,1897.72,1918.34
2023-01-19 19:00:00+00:00,3.2849999999998545,1981,2.9249999999999545,1.9300000000000637,0.5599999999999454,0.1950000000001637,resistance,1897.72,1922.69
2023-01-19 23:30:00+00:00,2.009999999999991,775,1.8200000000001637,0.12000000000011823,1.134999999999991,1.625,resistance,1897.72,1933.5
2023-01-20 01:30:00+00:00,2.925000000000182,1137,4.264999999999873,0.5299999999999727,0.7450000000001182,2.009999999999991,resistance,1897.72,1933.795
2023-01-24 02:00:00+00:00,1.1949999999999363,657,3.479999999999791,1.384999999999991,1.2000000000000455,0.5850000000000364,resistance,1916.665,1934.735
2023-01-24 06:30:00+00:00,3.349999999999909,960,2.5299999999999727,0.4600000000000364,1.6449999999999818,0.3149999999998272,resistance,1916.665,1935.87
2023-01-25 18:30:00+00:00,1.4100000000000819,1048,3.9200000000000728,0.8300000000001546,1.2049999999999272,2.7549999999998818,resistance,1916.665,1940.425
2023-01-25 20:00:00+00:00,1.650000000000091,1529,2.019999999999982,0.23999999999978172,1.4100000000000819,3.9200000000000728,resistance,1921.27,1941.42
2023-01-25 23:30:00+00:00,0.7999999999999545,499,1.2000000000000455,0.09500000000002728,0.39000000000010004,2.7649999999998727,resistance,1921.415,1946.8
2023-01-27 04:30:00+00:00,0.6549999999999727,814,3.7200000000000273,0.3350000000000364,0.7250000000001364,2.740000000000009,support,1922.355,1948.375
2023-01-31 04:30:00+00:00,0.14999999999986358,540,1.0299999999999727,2.6700000000000728,1.5499999999999545,0.11000000000012733,support,1921.085,1933.935
2023-01-31 06:00:00+00:00,1.9600000000000364,1691,3.0950000000000273,0.20000000000004547,0.14999999999986358,1.0299999999999727,support,1920.085,1933.465
2023-01-31 07:30:00+00:00,0.7599999999999909,1223,1.8899999999998727,0.209999999999809,1.9600000000000364,3.0950000000000273,support,1915.445,1933.465
2023-01-31 08:30:00+00:00,0.5099999999999909,1625,7.125,0.7599999999999909,1.8899999999998727,0.209999999999809,support,1913.69,1933.465
2023-01-31 11:30:00+00:00,1.3350000000000364,1162,1.7449999999998909,0.7149999999999181,1.550000000000182,2.964999999999918,support,1903.88,1933.465
2023-01-31 12:30:00+00:00,4.455000000000155,2356,1.3199999999999363,1.3350000000000364,1.7449999999998909,0.7149999999999181,support,1903.035,1933.465
